name,conf,dir,grid,n_ch,n_tiles,n_z,cond,rep,z_pitch
0000kT-0uM-np-XY01-1,experiment.yaml,untreated,XY01,3,33,8,0000kT-0uM-np,1,200
0000kT-0uM-np-XY02-2,experiment.yaml,untreated,XY02,3,33,7,0000kT-0uM-np,2,200
0000kT-0uM-np-XY03-3,experiment.yaml,untreated,XY03,3,33,8,0000kT-0uM-np,3,200
0000kT-4uM-np-XY01-1,experiment.yaml,4uMsta,XY01,3,33,6,0000kT-4uM-np,1,200
0000kT-4uM-np-XY02-2,experiment.yaml,4uMsta,XY02,3,33,11,0000kT-4uM-np,2,200
0000kT-4uM-np-XY03-3,experiment.yaml,4uMsta,XY03,3,33,8,0000kT-4uM-np,3,200
0500kT-0uM-np-XY01-1,experiment.yaml,500kTcells-nopeptide,XY01,3,33,7,0500kT-0uM-np,1,200
0500kT-0uM-np-XY02-2,experiment.yaml,500kTcells-nopeptide,XY02,3,33,6,0500kT-0uM-np,2,200
0500kT-0uM-np-XY03-3,experiment.yaml,500kTcells-nopeptide,XY03,3,33,7,0500kT-0uM-np,3,200
0500kT-0uM-wp-XY01-1,experiment.yaml,500kTcells-peptide,XY01,3,33,7,0500kT-0uM-wp,1,200
0500kT-0uM-wp-XY02-2,experiment.yaml,500kTcells-peptide,XY02,3,33,7,0500kT-0uM-wp,2,200
0500kT-0uM-wp-XY03-3,experiment.yaml,500kTcells-peptide,XY03,3,33,7,0500kT-0uM-wp,3,200
1000kT-0uM-np-XY01-1,experiment.yaml,1mioTcells-nopeptide,XY01,3,33,9,1000kT-0uM-np,1,200
1000kT-0uM-np-XY02-2,experiment.yaml,1mioTcells-nopeptide,XY02,3,33,7,1000kT-0uM-np,2,200
1000kT-0uM-np-XY03-3,experiment.yaml,1mioTcells-nopeptide,XY03,3,33,7,1000kT-0uM-np,3,200
1000kT-0uM-wp-XY01-1,experiment.yaml,1mioTcells-peptide,XY01,3,33,7,1000kT-0uM-wp,1,200
1000kT-0uM-wp-XY02-2,experiment.yaml,1mioTcells-peptide,XY02,3,33,9,1000kT-0uM-wp,2,200
1000kT-0uM-wp-XY03-3,experiment.yaml,1mioTcells-peptide,XY03,3,33,6,1000kT-0uM-wp,3,200
2000kT-0uM-np-XY01-1,experiment.yaml,2mioTcells-nopeptide,XY01,3,33,7,2000kT-0uM-np,1,200
2000kT-0uM-np-XY02-2,experiment.yaml,2mioTcells-nopeptide,XY02,3,33,7,2000kT-0uM-np,2,200
2000kT-0uM-np-XY03-3,experiment.yaml,2mioTcells-nopeptide,XY03,3,33,8,2000kT-0uM-np,3,200
2000kT-0uM-wp-XY01-1,experiment.yaml,2mioTcells-peptide,XY01,3,33,7,2000kT-0uM-wp,1,200
2000kT-0uM-wp-XY02-2,experiment.yaml,2mioTcells-peptide,XY02,3,33,7,2000kT-0uM-wp,2,200
2000kT-0uM-wp-XY03-3,experiment.yaml,2mioTcells-peptide,XY03,3,33,7,2000kT-0uM-wp,3,200
4000kT-0uM-np-XY01-1,experiment.yaml,4mioTcells-nopeptide,XY01,3,33,8,4000kT-0uM-np,1,200
4000kT-0uM-np-XY02-2,experiment.yaml,4mioTcells-nopeptide,XY02,3,33,7,4000kT-0uM-np,2,200
4000kT-0uM-np-XY03-3,experiment.yaml,4mioTcells-nopeptide,XY03,3,33,7,4000kT-0uM-np,3,200
4000kT-0uM-wp-XY01-1,experiment.yaml,4mioTcells-peptide,XY01,3,33,7,4000kT-0uM-wp,1,200
4000kT-0uM-wp-XY02-2,experiment.yaml,4mioTcells-peptide,XY02,3,33,9,4000kT-0uM-wp,2,200
4000kT-0uM-wp-XY03-3,experiment.yaml,4mioTcells-peptide,XY03,3,33,8,4000kT-0uM-wp,3,200
