,exp_grp,exp_name,exp_has_peptide,exp_sta_conc,exp_cell_count,exp_rep,xbin,value
0,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,00,3.1428059131686097
1,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,01,3.0298230562228703
2,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,02,3.1145609494926605
3,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,03,3.016469840154768
4,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,04,3.0446603605425335
5,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,05,2.95727705048758
6,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,06,3.1285809995653993
7,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,07,3.1205442438655124
8,20190719-co-culture,00.0mT-np-0uMsta-XY01-1,No Peptide,0.000uM,00.00mT,r1,08,3.0026923795148295
9,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,01,3.137199404553244
10,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,02,3.142407311624923
11,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,03,3.0195490858880447
12,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,04,3.0305074918518247
13,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,05,3.014486847125428
14,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,06,3.107485808255885
15,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,07,3.1420435486474787
16,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,08,3.0719884700626516
17,20190719-co-culture,00.0mT-np-0uMsta-XY02-2,No Peptide,0.000uM,00.00mT,r2,09,2.9732140626504693
18,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,01,2.8124277826809334
19,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,02,2.850755569286754
20,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,03,2.8563284729764473
21,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,04,2.7779307286439914
22,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,05,2.8444869727879
23,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,06,2.7741897884554207
24,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,07,2.8523103926764275
25,20190719-co-culture,00.0mT-np-0uMsta-XY03-3,No Peptide,0.000uM,00.00mT,r3,08,2.8854962209592605
26,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,00,3.0113031604491156
27,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,01,3.048085488670359
28,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,02,3.052103818771122
29,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,03,3.089444369497738
30,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,04,3.1338778253488964
31,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,05,3.288496967271229
32,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,06,3.451627880444229
33,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,07,3.4963821961706087
34,20190719-co-culture,00.0mT-np-4uMsta-XY01-1,No Peptide,4.000uM,00.00mT,r1,08,3.4133375710885097
35,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,01,3.3245728581940437
36,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,02,3.3167414233078745
37,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,03,3.2185714548074227
38,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,04,3.2674505230734483
39,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,05,3.4112953327254036
40,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,06,3.2945043526845876
41,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,07,3.3875087589275794
42,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,08,3.4708255174988123
43,20190719-co-culture,00.0mT-np-4uMsta-XY02-2,No Peptide,4.000uM,00.00mT,r2,09,3.5918880198253365
44,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,00,3.3615237104551454
45,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,01,3.450038155101645
46,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,02,3.4041281357328965
47,20190719-co-culture,00.0mT-np-4uMsta-XY03-3,No Peptide,4.000uM,00.00mT,r3,03,3.3996805306272475
