,exp_grp,label,exp_rep,treatment,value
0,20190703-sta-titration,0.000uM STA,r1,Chemical Titration,114
1,20190703-sta-titration,0.000uM STA,r2,Chemical Titration,139
2,20190703-sta-titration,0.000uM STA,r3,Chemical Titration,107
3,20190703-sta-titration,0.125uM STA,r1,Chemical Titration,68
4,20190703-sta-titration,0.125uM STA,r2,Chemical Titration,41
5,20190703-sta-titration,0.125uM STA,r3,Chemical Titration,66
6,20190703-sta-titration,0.250uM STA,r1,Chemical Titration,57
7,20190703-sta-titration,0.250uM STA,r2,Chemical Titration,60
8,20190703-sta-titration,0.250uM STA,r3,Chemical Titration,50
9,20190703-sta-titration,0.500uM STA,r1,Chemical Titration,46
10,20190703-sta-titration,0.500uM STA,r2,Chemical Titration,50
11,20190703-sta-titration,0.500uM STA,r3,Chemical Titration,56
12,20190703-sta-titration,1.000uM STA,r1,Chemical Titration,52
13,20190703-sta-titration,1.000uM STA,r2,Chemical Titration,45
14,20190703-sta-titration,1.000uM STA,r3,Chemical Titration,42
15,20190703-sta-titration,2.000uM STA,r1,Chemical Titration,50
16,20190703-sta-titration,2.000uM STA,r2,Chemical Titration,67
17,20190703-sta-titration,2.000uM STA,r3,Chemical Titration,53
18,20190703-sta-titration,4.000uM STA,r1,Chemical Titration,65
19,20190703-sta-titration,4.000uM STA,r2,Chemical Titration,81
20,20190703-sta-titration,4.000uM STA,r3,Chemical Titration,80
21,20190719-co-culture,00.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),259
22,20190719-co-culture,00.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),242
23,20190719-co-culture,00.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),213
24,20190719-co-culture,02.50mT cells,r1,T Cell Co-Culture Titration (No Peptide),144
25,20190719-co-culture,02.50mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),132
26,20190719-co-culture,02.50mT cells,r2,T Cell Co-Culture Titration (No Peptide),130
27,20190719-co-culture,02.50mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),146
28,20190719-co-culture,02.50mT cells,r3,T Cell Co-Culture Titration (No Peptide),150
29,20190719-co-culture,02.50mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),91
30,20190719-co-culture,05.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),122
31,20190719-co-culture,05.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),144
32,20190719-co-culture,05.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),153
33,20190719-co-culture,05.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),151
34,20190719-co-culture,05.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),121
35,20190719-co-culture,05.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),149
36,20190719-co-culture,05.00mT cells,r4,T Cell Co-Culture Titration (Peptide Pulsed),169
37,20190719-co-culture,10.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),66
38,20190719-co-culture,10.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),153
39,20190719-co-culture,10.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),49
40,20190719-co-culture,10.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),153
41,20190719-co-culture,10.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),151
42,20190719-co-culture,10.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),128
43,20190719-co-culture,10.00mT cells,r4,T Cell Co-Culture Titration (Peptide Pulsed),137
44,20190719-co-culture,20.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),95
45,20190719-co-culture,20.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),65
46,20190719-co-culture,20.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),116
47,20190719-co-culture,20.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),134
48,20190719-co-culture,20.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),120
49,20190719-co-culture,20.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),141
50,20190719-co-culture,20.00mT cells,r4,T Cell Co-Culture Titration (Peptide Pulsed),159
51,20190822-co-culture,00.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),214
52,20190822-co-culture,00.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),201
53,20190822-co-culture,00.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),173
54,20190822-co-culture,00.25mT cells,r1,T Cell Co-Culture Titration (No Peptide),93
55,20190822-co-culture,00.25mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),99
56,20190822-co-culture,00.25mT cells,r2,T Cell Co-Culture Titration (No Peptide),99
57,20190822-co-culture,00.25mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),101
58,20190822-co-culture,00.25mT cells,r3,T Cell Co-Culture Titration (No Peptide),89
59,20190822-co-culture,00.25mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),100
60,20190822-co-culture,00.50mT cells,r1,T Cell Co-Culture Titration (No Peptide),82
61,20190822-co-culture,00.50mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),84
62,20190822-co-culture,00.50mT cells,r2,T Cell Co-Culture Titration (No Peptide),84
63,20190822-co-culture,00.50mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),101
64,20190822-co-culture,00.50mT cells,r3,T Cell Co-Culture Titration (No Peptide),108
65,20190822-co-culture,00.50mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),71
66,20190822-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),91
67,20190822-co-culture,01.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),56
68,20190822-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),87
69,20190822-co-culture,01.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),67
70,20190822-co-culture,01.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),70
71,20190822-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),94
72,20190822-co-culture,02.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),74
73,20190822-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (No Peptide),16
74,20190822-co-culture,02.00mT cells,r2,T Cell Co-Culture Titration (Peptide Pulsed),81
75,20190822-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (No Peptide),91
76,20190822-co-culture,02.00mT cells,r3,T Cell Co-Culture Titration (Peptide Pulsed),78
77,20190822-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (No Peptide),100
78,20190822-co-culture,04.00mT cells,r1,T Cell Co-Culture Titration (Peptide Pulsed),75
