label,value,exp_grp,treatment
0.125uM STA,333.66460074698165,20190703-sta-titration,Chemical Titration
0.125uM STA,173.10969333023152,20190703-sta-titration,Chemical Titration
0.125uM STA,287.4865654736737,20190703-sta-titration,Chemical Titration
0.125uM STA,195.02361826283703,20190703-sta-titration,Chemical Titration
0.125uM STA,248.5304745784553,20190703-sta-titration,Chemical Titration
0.125uM STA,102.12922378276676,20190703-sta-titration,Chemical Titration
0.125uM STA,98.36981518731872,20190703-sta-titration,Chemical Titration
0.125uM STA,198.18398894963815,20190703-sta-titration,Chemical Titration
0.125uM STA,155.50358656188678,20190703-sta-titration,Chemical Titration
0.125uM STA,232.4351530259621,20190703-sta-titration,Chemical Titration
0.125uM STA,367.48452902508734,20190703-sta-titration,Chemical Titration
0.125uM STA,235.7853504383089,20190703-sta-titration,Chemical Titration
0.125uM STA,322.1082799640191,20190703-sta-titration,Chemical Titration
0.125uM STA,222.53971630254875,20190703-sta-titration,Chemical Titration
0.125uM STA,349.1490326080303,20190703-sta-titration,Chemical Titration
0.125uM STA,139.04268857893504,20190703-sta-titration,Chemical Titration
0.125uM STA,216.88375167516784,20190703-sta-titration,Chemical Titration
0.125uM STA,51.06461189138338,20190703-sta-titration,Chemical Titration
0.125uM STA,14.27299292922217,20190703-sta-titration,Chemical Titration
0.125uM STA,187.3517220877859,20190703-sta-titration,Chemical Titration
0.125uM STA,240.19373482886616,20190703-sta-titration,Chemical Titration
0.125uM STA,282.80702827561413,20190703-sta-titration,Chemical Titration
0.125uM STA,273.8034776879329,20190703-sta-titration,Chemical Titration
0.125uM STA,319.34525920249325,20190703-sta-titration,Chemical Titration
0.125uM STA,200.8895233951381,20190703-sta-titration,Chemical Titration
0.125uM STA,155.96143197156326,20190703-sta-titration,Chemical Titration
0.125uM STA,90.72056226219108,20190703-sta-titration,Chemical Titration
0.125uM STA,197.9268408084449,20190703-sta-titration,Chemical Titration
0.125uM STA,293.62151837545446,20190703-sta-titration,Chemical Titration
0.125uM STA,291.74220998418474,20190703-sta-titration,Chemical Titration
0.125uM STA,88.67653256800452,20190703-sta-titration,Chemical Titration
0.125uM STA,167.24391265078097,20190703-sta-titration,Chemical Titration
0.125uM STA,187.24295475084625,20190703-sta-titration,Chemical Titration
0.125uM STA,382.5321874003844,20190703-sta-titration,Chemical Titration
0.125uM STA,359.9228865181185,20190703-sta-titration,Chemical Titration
0.125uM STA,205.50136062755368,20190703-sta-titration,Chemical Titration
0.125uM STA,177.86921096013023,20190703-sta-titration,Chemical Titration
0.125uM STA,201.34534289217515,20190703-sta-titration,Chemical Titration
0.125uM STA,240.6174319915274,20190703-sta-titration,Chemical Titration
0.125uM STA,382.23917151104416,20190703-sta-titration,Chemical Titration
0.125uM STA,284.6021905711059,20190703-sta-titration,Chemical Titration
0.125uM STA,283.41865922739095,20190703-sta-titration,Chemical Titration
0.125uM STA,182.9505975721259,20190703-sta-titration,Chemical Titration
0.125uM STA,236.81987979579426,20190703-sta-titration,Chemical Titration
0.125uM STA,241.8840704959097,20190703-sta-titration,Chemical Titration
0.125uM STA,278.74391469217505,20190703-sta-titration,Chemical Titration
0.125uM STA,310.7122708230221,20190703-sta-titration,Chemical Titration
0.125uM STA,222.76845489341102,20190703-sta-titration,Chemical Titration
0.125uM STA,243.14411064457852,20190703-sta-titration,Chemical Titration
0.125uM STA,145.55653892695136,20190703-sta-titration,Chemical Titration
0.125uM STA,308.4089605538328,20190703-sta-titration,Chemical Titration
0.125uM STA,159.89574746778626,20190703-sta-titration,Chemical Titration
0.125uM STA,292.23059857666664,20190703-sta-titration,Chemical Titration
0.125uM STA,332.22671423893917,20190703-sta-titration,Chemical Titration
0.125uM STA,104.78748891826756,20190703-sta-titration,Chemical Titration
0.125uM STA,119.50169343465215,20190703-sta-titration,Chemical Titration
0.125uM STA,130.81414098346013,20190703-sta-titration,Chemical Titration
0.125uM STA,317.7464444164867,20190703-sta-titration,Chemical Titration
0.125uM STA,133.89254195014408,20190703-sta-titration,Chemical Titration
0.125uM STA,197.20504216269626,20190703-sta-titration,Chemical Titration
0.125uM STA,150.03624612378732,20190703-sta-titration,Chemical Titration
0.125uM STA,233.6589644722491,20190703-sta-titration,Chemical Titration
0.125uM STA,116.65497955136514,20190703-sta-titration,Chemical Titration
0.125uM STA,250.2866069148927,20190703-sta-titration,Chemical Titration
0.125uM STA,168.63889963826438,20190703-sta-titration,Chemical Titration
0.125uM STA,359.89458513128335,20190703-sta-titration,Chemical Titration
0.125uM STA,283.2029403130507,20190703-sta-titration,Chemical Titration
0.125uM STA,330.22783124303317,20190703-sta-titration,Chemical Titration
0.125uM STA,228.6353488606844,20190703-sta-titration,Chemical Titration
0.125uM STA,164.1704439993811,20190703-sta-titration,Chemical Titration
0.125uM STA,188.21959805692703,20190703-sta-titration,Chemical Titration
0.125uM STA,261.0826540905038,20190703-sta-titration,Chemical Titration
0.125uM STA,258.0610802655603,20190703-sta-titration,Chemical Titration
0.125uM STA,239.8967015655475,20190703-sta-titration,Chemical Titration
0.125uM STA,156.15724050061797,20190703-sta-titration,Chemical Titration
